RANK,NAME,REVENUES ($M),REVENUE PERCENT CHANGE,PROFITS ($M),PROFITS PERCENT CHANGE,ASSETS ($M),MARKET VALUE,EMPLOYEES,CHANGE IN RANK,CEO GENDER,Sector,City,STATE,YEAR
704,Twitter,"3,459.30",13.7,"1,465.70",21.6,"12,703.40","19,213.00",4900,52,male,Technology,San Francisco,California,2020
705,Calumet Specialty Products Partners,"3,452.60",-1.3,-43.60,-,"1,857.80",81.70,1500,-19,male,Energy,Indianapolis,Indiana,2020
706,Steelcase,"3,443.20",12.7,126.00,56.1,"2,142.40","1,156.80",12700,44,male,Household Products,Grand Rapids,Michigan,2020
707,Sanderson Farms,"3,440.30",6.3,53.30,-13.2,"1,774.10","2,742.40",17055,15,male,"Food, Beverages & Tobacco",Laurel,Mississippi,2020
708,WABCO Holdings,"3,421.40",-10.7,245.80,-37.6,"4,037.10","6,924.10",13911,-62,male,Motor Vehicles & Parts,Auburn Hills,Michigan,2020
709,Clean Harbors,"3,412.20",3.4,97.70,48.9,"4,108.90","2,866.30",14400,5,male,Business Services,Norwell,Massachusetts,2020
710,Puget Energy,"3,401.10",1.6,210.70,-10.6,"14,659.90",-,3130,-5,female,Energy,Bellevue,Washington,2020
711,Light & Wonder,"3,400.00",1.1,-130.00,-,"7,809.00",910.50,9800,-7,male,"Hotels, Restaurants & Leisure",Kent,Washington,2020
712,Granite Construction,"3,389.80",2.2,-105.40,-348.5,"2,633.80",709.50,4200,-,male,Engineering & Construction,Watsonville,California,2020
713,Carlyle Group,"3,377.00",39.1,380.90,227,"13,808.80","7,539.20",1775,161,male,Financials,"Washington, D.C.",District of Columbia,2020
714,Skyworks Solutions,"3,376.80",-12.7,853.60,-7.1,"4,839.60","15,155.50",9000,-74,male,Technology,Woburn,Massachusetts,2020
715,Aleris,"3,375.90",-2,-11.80,-,"2,712.20",-,5600,-25,male,Materials,Cleveland,Ohio,2020
716,Triple-S Management,"3,375.60",12.7,92.90,-,"2,818.80",345.00,3992,49,male,Health Care,San Juan,Puerto Rico,2020
717,Hexion,"3,374.00",-11.1,-,-,"4,146.00",-,4000,-65,male,Chemicals,Columbus,Ohio,2020
718,Hologic,"3,367.30",4.6,-203.60,-,"6,442.10","9,270.90",6478,8,male,Health Care,Marlborough,Massachusetts,2020
719,Triumph Group,"3,364.90",5.2,-321.80,-,"2,854.60",350.50,10776,9,male,Aerospace & Defense,Berwyn,Pennsylvania,2020
720,Darling Ingredients,"3,363.90",-0.7,312.60,208,"5,345.30","3,144.60",10100,-21,male,"Food, Beverages & Tobacco",Irving,Texas,2020
721,MSC Industrial Direct,"3,363.80",5,288.90,-12.3,"2,311.20","3,044.90",6700,6,male,Wholesalers,Davidson,North Carolina,2020
722,Red Hat,"3,362.10",15.1,434.00,67.7,"5,588.30",-,13360,54,male,Technology,Raleigh,North Carolina,2020
723,Synopsys,"3,360.70",7.7,532.40,23.1,"6,405.20","19,347.80",13896,17,male,Technology,Mountain View,California,2020
724,Avient,"3,351.60",-5.1,588.60,268.3,"3,273.30","1,752.30",5600,-43,male,Chemicals,Avon Lake,Ohio,2020
725,Dycom Industries,"3,339.70",6.8,57.20,-9,"2,217.60",810.20,15230,13,male,Engineering & Construction,Palm Beach Gardens,Florida,2020
726,Cabot,"3,337.00",2.9,157.00,-,"3,004.00","1,480.50",4500,-6,male,Chemicals,Boston,Massachusetts,2020
727,Prologis,"3,330.60",18.8,"1,573.00",-4.6,"40,031.90","59,400.60",1712,72,male,Financials,San Francisco,California,2020
728,Boyd Gaming,"3,326.10",26.6,157.60,37,"6,650.10","1,609.40",24300,106,male,"Hotels, Restaurants & Leisure",Las Vegas,Nevada,2020
729,LSC Communications,"3,326.00",-13.1,-295.00,-,"1,649.00",3.00,20000,-80,male,Media,Chicago,Illinois,2020
730,Brown-Forman,"3,324.00",2.3,835.00,16.5,"5,139.00","25,843.40",4700,-11,male,"Food, Beverages & Tobacco",Louisville,Kentucky,2020
731,Stericycle,"3,308.90",-5.1,-346.80,-,"6,437.00","4,434.00",19500,-43,female,Business Services,Bannockburn,Illinois,2020
732,CIT Group,"3,296.10",-0.4,529.90,18.5,"50,832.80","1,692.00",3609,-19,female,Financials,New York,New York,2020
733,MDC Holdings,"3,293.30",7.4,238.30,13.1,"3,338.40","1,462.80",1656,15,male,Engineering & Construction,Denver,Colorado,2020
734,Hyster-Yale Materials Handling,"3,291.80",3.7,35.80,3.2,"1,847.20",672.80,7900,-1,male,Industrials,Cleveland,Ohio,2020
735,Crane Holdings,"3,283.10",-1.9,133.30,-60.3,"4,423.70","2,911.40",13000,-29,male,Industrials,Stamford,Connecticut,2020
736,Cinemark Holdings,"3,283.10",1.9,191.40,-10.5,"5,828.00","1,193.80",22603,-12,male,Media,Plano,Texas,2020
737,Autodesk,"3,274.30",27.4,214.50,-,"6,179.30","34,267.30",10100,107,male,Technology,San Rafael,California,2020
738,Trimble,"3,264.30",5,514.30,81.9,"6,640.70","7,962.80",11484,5,male,Technology,Sunnyvale,California,2020
739,Garrett Motion,"3,248.00",-,313.00,-,"2,275.00",214.00,7400,-,male,Motor Vehicles & Parts,Rolle,Switzerland,2020
740,Zions Bancorp.,"3,245.00",7,816.00,-7.7,"69,172.00","4,389.00",10188,20,male,Financials,Salt Lake City,Utah,2020
741,Regal Rexnord,"3,238.00",-11.2,238.90,3.3,"4,430.70","2,559.30",19560,-71,male,Industrials,Milwaukee,Wisconsin,2020
742,Service Corp. International,"3,230.80",1.3,369.60,-17.4,"13,677.40","7,083.90",20457,-12,male,Business Services,Houston,Texas,2020
743,Varian Medical Systems,"3,225.10",10.5,291.90,94.7,"4,101.70","9,307.80",10062,34,male,Health Care,Palo Alto,California,2020
744,PriceSmart,"3,223.90",1.8,73.20,-1.5,"1,296.40","1,608.70",9000,-10,female,Retailing,San Diego,California,2020
745,Brinker International,"3,217.90",2.6,154.90,23.1,"1,258.30",449.30,56147,-8,male,"Hotels, Restaurants & Leisure",Dallas,Texas,2020
746,Digital Realty Trust,"3,209.20",5.3,579.80,75,"23,068.10","36,016.50",1550,7,male,Financials,San Francisco,California,2020
747,Pool,"3,199.50",6.7,261.60,11.6,"1,483.30","7,921.20",4500,17,male,Wholesalers,Covington,Louisiana,2020
748,Crestwood Equity Partners,"3,181.90",-12.9,285.10,461.2,"5,349.30",307.60,894,-80,male,Energy,Houston,Texas,2020
749,Infor,"3,171.20",1.7,142.00,-,"6,752.70",-,17380,-8,male,Technology,New York,New York,2020
750,Plexus,"3,164.40",10.1,108.60,732.9,"2,000.90","1,601.60",19000,34,male,Technology,Neenah,Wisconsin,2020
751,Teledyne Technologies,"3,163.60",9,402.30,20.5,"4,579.80","10,893.10",11790,31,male,Aerospace & Defense,Thousand Oaks,California,2020
752,G-III Apparel Group,"3,160.50",2.7,143.80,4.2,"2,565.10",369.70,6050,-6,male,Apparel,New York City,New York,2020
753,Scotts Miracle-Gro,"3,156.00",18.5,460.70,623.2,"3,028.70","5,693.00",5850,76,male,Chemicals,Marysville,Ohio,2020
754,Apollo Global Management,"3,145.40",223.5,843.20,-,"8,542.10","7,738.90",1421,-,male,Financials,New York,New York,2020
755,E*Trade Financial,"3,145.00",3.6,955.00,-9.2,"61,416.00","7,585.50",4122,3,male,Financials,New York,New York,2020
756,Toro,"3,138.10",19.8,274.00,0.8,"2,330.50","6,963.30",9329,79,male,Industrials,Bloomington,Minnesota,2020
757,Southwest Gas Holdings,"3,119.90",8.3,213.90,17.4,"8,170.00","3,834.00",8944,26,male,Energy,Las Vegas,Nevada,2020
758,GMS,"3,116.00",24.1,56.00,-11.1,"2,149.60",665.70,5858,94,male,Wholesalers,Tucker,Georgia,2020
759,Cooper-Standard Holdings,"3,108.40",-14.2,67.50,-34.8,"2,635.60",173.00,28000,-87,male,Motor Vehicles & Parts,Novi,Michigan,2020
760,Acadia Healthcare,"3,107.50",3.2,108.90,-,"6,879.10","1,629.10",35600,3,female,Health Care,Franklin,Tennessee,2020
761,Tetra Tech,"3,107.30",4.8,158.70,15.9,"2,147.40","3,861.80",20000,12,male,Engineering & Construction,Pasadena,California,2020
762,Primoris Services,"3,106.30",5.7,82.30,6.3,"1,830.50",767.20,9700,12,male,Engineering & Construction,Lake Forest,California,2020
763,Tempur Sealy International,"3,106.00",13.6,189.50,88.6,"3,061.80","2,277.20",7400,48,male,Household Products,Lexington,Kentucky,2020
764,H&R Block,"3,094.90",-2.1,422.50,-31.1,"3,299.90","2,710.10",44600,-29,male,Financials,Kansas City,Missouri,2020
765,Qorvo,"3,090.30",3.9,133.10,-,"5,808.00","9,327.70",8100,3,male,Technology,Greensboro,North Carolina,2020
766,Tri Pointe Homes,"3,083.00",-5.5,207.20,-23.2,"3,858.70","1,177.00",1386,-49,male,Engineering & Construction,Irvine,California,2020
767,Cracker Barrel Old Country Store,"3,072.00",1.4,223.40,-9.8,"1,581.20","1,992.60",73000,-6,female,"Hotels, Restaurants & Leisure",Lebanon,Tennessee,2020
768,Elanco Animal Health,"3,071.00",-,67.90,-,"8,985.80","8,923.10",6080,-,male,Health Care,Greenfield,Indiana,2020
769,PRA Health Sciences,"3,066.30",6.8,243.00,57.9,"3,544.40","5,278.30",17500,16,male,Technology,Raleigh,North Carolina,2020
770,First Solar,"3,063.10",36.5,-114.90,-179.6,"7,515.70","3,802.80",6600,150,male,Energy,Tempe,Arizona,2020
771,AMC Networks,"3,060.30",3,380.50,-14.7,"5,596.70","1,350.70",2588,-2,male,Media,New York,New York,2020
772,Xilinx,"3,059.00",20.5,889.80,73.7,"5,151.30","19,394.30",4433,76,male,Technology,San Jose,California,2020
773,Green Plains,"3,055.40",-20.5,-166.90,-1147.9,"1,698.20",170.00,820,-129,male,Energy,Omaha,Nebraska,2020
774,Columbia Sportswear,"3,042.50",8.6,330.50,23.2,"2,931.60","4,702.70",8900,26,male,Apparel,Portland,Oregon,2020
775,Nexstar Media Group,"3,039.30",9.9,230.30,-40.9,"13,989.70","2,647.50",14891,29,male,Media,Irving,Texas,2020
776,Southwestern Energy,"3,038.00",-21.3,891.00,65.9,"6,717.00",914.40,923,-134,male,Energy,Spring,Texas,2020
777,Greenbrier,"3,033.60",20.4,71.10,-53.2,"2,990.60",578.30,17100,74,female,Transportation,Lake Oswego,Oregon,2020
778,Presidio,"3,026.10",5.9,35.20,-73.8,"2,870.90",-,2900,10,male,Technology,New York,New York,2020
779,Citrix Systems,"3,010.60",1.2,681.80,18.4,"4,388.90","17,319.80",8400,-12,male,Technology,Fort Lauderdale,Florida,2020
780,Mettler-Toledo International,"3,008.70",2.5,561.10,9.5,"2,789.30","16,558.80",15525,-5,male,Technology,Columbus,Ohio,2020
781,Trinity Industries,"3,005.10",19.8,137.60,-13.6,"8,701.40","1,923.60",11875,73,female,Transportation,Dallas,Texas,2020
782,Mutual of America Life Insurance,"3,004.70",-1.3,-21.20,-232.5,"23,657.90",-,1202,-27,male,Financials,New York,New York,2020
783,Lincoln Electric Holdings,"3,003.30",-0.8,293.10,2.1,"2,371.20","4,150.80",11000,-21,male,Industrials,Cleveland,Ohio,2020
784,Tailored Brands,"2,998.70",-7.4,-82.30,-198.8,"2,419.00",84.30,16500,-63,male,Retailing,Houston,Texas,2020
785,A.O. Smith,"2,992.70",-6.1,370.00,-16.7,"3,058.00","6,125.40",15100,-54,male,Industrials,Milwaukee,Wisconsin,2020
786,ArcBest,"2,988.30",-3.4,40.00,-40.6,"1,651.20",443.90,13000,-41,female,Transportation,Fort Smith,Arkansas,2020
787,GoDaddy,"2,988.10",12.3,137.00,77.7,"6,301.20","9,988.40",7024,44,male,Technology,Scottsdale,Arizona,2020
788,SkyWest,"2,972.00",-7.8,340.10,21.3,"6,657.10","1,316.20",13700,-63,male,Transportation,St. George,Utah,2020
789,Boston Properties,"2,960.60",9,521.50,-10.5,"21,284.90","14,306.90",760,24,male,Financials,Boston,Massachusetts,2020
790,Enable Midstream Partners,"2,960.00",-13.7,396.00,-24,"12,266.00","1,118.50",1735,-97,male,Energy,Oklahoma City,Oklahoma,2020
791,Middleby,"2,959.40",8.7,352.20,11.1,"5,002.10","3,196.10",9778,21,male,Industrials,Elgin,Illinois,2020
792,NOW,"2,951.00",-5.6,-97.00,-286.5,"1,591.00",563.50,4300,-53,male,Energy,Carlsbad,California,2020
793,Unisys,"2,948.70",4.4,-17.20,-122.8,"2,504.00",776.80,20800,3,male,Technology,Blue Bell,Pennsylvania,2020
794,Visteon,"2,945.00",-1.3,70.00,-57.3,"2,271.00","1,344.40",11000,-28,male,Motor Vehicles & Parts,Van Buren Township,Michigan,2020
795,Graham Holdings,"2,932.10",8.8,327.90,20.9,"5,931.20","1,790.60",15902,26,male,Business Services,Arlington,Virginia,2020
796,Resolute Forest Products,"2,923.00",-22.2,-47.00,-120,"3,626.00",109.20,6700,-140,male,Materials,Montreal,Quebec,2020
797,Caleres,"2,921.60",3.1,62.80,-,"2,431.70",208.20,11400,-4,female,Retailing,St. Louis,Missouri,2020
798,AGNC Investment,"2,920.00",108.3,688.00,433.3,"113,082.00","5,723.20",51,-,male,Financials,Bethesda,Maryland,2020
799,Hill-Rom Holdings,"2,907.30",2.1,152.20,-39.7,"4,919.00","6,739.30",10000,-9,male,Health Care,Chicago,Illinois,2020
800,Moog,"2,904.70",7.2,179.70,86.3,"3,114.20","1,713.10",12809,18,male,Aerospace & Defense,East Aurora,New York,2020
801,Legg Mason,"2,903.30",-7.5,-28.50,-110,"7,794.10","4,244.70",3246,-65,male,Financials,Baltimore,Maryland,2020
802,Atmos Energy,"2,901.80",-6.9,511.40,-15.2,"13,367.60","12,132.50",4776,-60,male,Energy,Dallas,Texas,2020
803,Woodward,"2,900.20",24.7,259.60,43.9,"3,956.50","3,698.10",9023,95,male,Aerospace & Defense,Fort Collins,Colorado,2020
804,Palo Alto Networks,"2,899.60",27.6,-81.90,-,"6,592.20","16,347.60",7014,108,male,Technology,Santa Clara,California,2020
805,H.B. Fuller,"2,897.00",-4.7,130.80,-23.6,"3,985.70","1,435.90",6369,-48,male,Chemicals,Saint Paul,Minnesota,2020
806,Akamai Technologies,"2,893.60",6.6,478.00,60.2,"7,006.90","14,810.60",7724,9,male,Technology,Cambridge,Massachusetts,2020
807,Avaya Holdings,"2,887.00",1.3,-671.00,-,"6,950.00",770.90,7900,-18,male,Technology,Durham,North Carolina,2020
808,Maximus,"2,886.80",20.7,240.80,9.1,"1,745.70","3,721.50",29600,70,male,Technology,Reston,Virginia,2020
809,PerkinElmer,"2,883.70",3.8,227.60,-4.4,"6,538.60","8,379.00",13000,-7,male,Technology,Waltham,Massachusetts,2020
810,Hawaiian Electric Industries,"2,874.60",0.5,217.90,8,"13,745.30","4,698.70",3841,-23,female,Energy,Honolulu,Hawaii,2020
811,Kansas City Southern,"2,866.00",5.6,538.90,-14.1,"9,786.80","12,228.50",7040,5,male,Transportation,Kansas City,Missouri,2020
812,AptarGroup,"2,859.70",3.4,242.20,24.4,"3,562.10","6,474.70",14000,-7,male,Materials,Crystal Lake,Illinois,2020
813,Public Storage,"2,846.80",3.4,"1,520.50",-11.1,"11,365.40","34,684.60",5900,-6,male,Financials,Glendale,California,2020
814,Selective Insurance Group,"2,846.50",10.1,271.60,51.8,"8,797.20","2,967.50",2400,25,male,Financials,Branchville,New Jersey,2020
815,ITT,"2,846.40",3.7,325.10,-2.6,"4,107.70","3,992.80",10500,-7,male,Industrials,White Plains,New York,2020
816,Donaldson,"2,844.90",4,267.20,48.2,"2,142.60","4,897.20",14100,-6,male,Industrials,Minneapolis,Minnesota,2020
817,Park Hotels & Resorts,"2,844.00",3.9,306.00,-35.2,"11,290.00","1,898.30",488,-8,male,Financials,Tysons,Virginia,2020
818,Kirby,"2,838.40",-4.5,142.30,81.4,"6,079.10","2,608.10",5550,-48,male,Transportation,Houston,Texas,2020
819,Hawaiian Holdings,"2,832.20",-0.2,224.00,-4,"4,126.60",479.70,7437,-27,male,Transportation,Honolulu,Hawaii,2020
820,Popular,"2,830.70",5.8,671.10,8.6,"52,115.30","3,103.30",8560,7,male,Financials,Hato Rey,Puerto Rico,2020
821,Range Resources,"2,827.60",-13.9,"-1,716.30",-,"6,612.40",580.80,655,-105,male,Energy,Fort Worth,Texas,2020
822,PC Connection,"2,820.00",4.5,82.10,27.1,937.30,"1,085.70",2609,-2,male,Wholesalers,Merrimack,New Hampshire,2020
823,Amica Mutual Insurance,"2,808.50",4.4,173.30,17.8,"6,382.90",-,3983,-,male,Financials,Lincoln,Rhode Island,2020
824,EnerSys,"2,808.00",8.8,160.20,34,"3,118.20","2,095.10",11000,17,male,Industrials,Reading,Pennsylvania,2020
825,Helmerich & Payne,"2,798.50",12.5,-33.70,-107,"5,839.50","1,703.90",8502,34,male,Energy,Tulsa,Oklahoma,2020
826,NLV Financial,"2,772.10",45.5,223.50,49,"35,766.10",-,1278,-,male,Financials,Las Vegas,Nevada,2020
827,Valmont Industries,"2,767.00",0.4,153.80,63,"2,763.40","2,281.10",9862,-21,male,Materials,Omaha,Nebraska,2020
828,PAE,"2,763.90",6,-49.80,-,"1,371.30",597.30,20000,-,male,Aerospace & Defense,Falls Church,Virginia,2020
829,Texas Roadhouse,"2,756.20",12.2,174.50,10.3,"1,983.60","2,866.50",35554,39,male,"Hotels, Restaurants & Leisure",Louisville,Kentucky,2020
830,Cooper Tire & Rubber,"2,752.60",-2,96.40,25.9,"2,802.30",819.30,8720,-32,male,Motor Vehicles & Parts,Findlay,Ohio,2020
831,Euronet Worldwide,"2,750.10",8.4,346.70,48.9,"4,657.70","4,587.70",7700,18,male,Business Services,Leawood,Kansas,2020
832,Zillow Group,"2,742.80",105.7,-305.40,-,"6,132.00","7,411.20",5249,-,male,Technology,Seattle,Washington,2020
833,Atlas Air Worldwide Holdings,"2,739.20",2.3,-293.10,-208.3,"5,385.60",666.30,3587,-7,male,Transportation,Purchase,New York,2020
834,Energizer Holdings,"2,729.60",51.8,51.10,-45.3,"5,449.60","2,100.30",7500,-,male,Household Products,St. Louis,Missouri,2020
835,Magellan Midstream Partners,"2,727.90",-3.5,"1,020.80",-23.5,"8,437.70","8,309.70",1884,-40,male,Energy,Tulsa,Oklahoma,2020
836,Hain Celestial Group,"2,710.60",-8.7,-183.30,-1991,"2,582.60","2,710.90",5441,-64,male,"Food, Beverages & Tobacco",Lake Success,New York,2020
837,Univision Communciations,"2,703.80",-3.2,286.80,5875,"9,320.70",-,4500,-36,male,Media,New York City,New York,2020
838,Equity Residential,"2,701.10",4.8,970.40,47.6,"21,172.80","22,954.80",2700,4,male,Financials,Chicago,Illinois,2020
839,Allison Transmission Holdings,"2,698.00",-0.6,604.00,-5.5,"4,450.00","3,818.50",3700,-22,male,Motor Vehicles & Parts,Indianapolis,Indiana,2020
840,Colony Capital,"2,689.60",0.9,"-1,048.80",-,"19,832.20",852.90,400,-12,male,Financials,Los Angeles,California,2020
841,TTM Technologies,"2,689.30",-5.5,41.30,-76.2,"3,560.90","1,095.60",25700,-50,male,Technology,Santa Ana,California,2020
842,Clear Channel Outdoor Holdings,"2,683.80",-1.4,-363.30,-,"6,393.30",298.50,5900,-,male,Business Services,San Antonio,Texas,2020
843,Guess,"2,678.10",2.6,96.00,580.7,"2,429.00",444.40,15800,-7,male,Retailing,Los Angeles,California,2020
844,Upbound Group,"2,669.90",0.4,173.50,1943.6,"1,582.80",781.00,14500,-14,male,Retailing,Seattle,Washington,2020
845,Take-Two Interactive Software,"2,668.40",48.8,333.80,92.4,"4,243.10","13,453.30",4894,-,male,Media,New York City,New York,2020
846,Vishay Intertechnology,"2,668.30",-12.1,163.90,-52.6,"3,120.80","2,084.30",22400,-87,male,Technology,Malvern,Pennsylvania,2020
847,TransUnion,"2,656.10",14.6,346.90,25.4,"7,113.20","12,560.00",8000,54,male,Business Services,Chicago,Illinois,2020
848,Cooper Cos.,"2,653.40",4.8,466.70,233.6,"6,274.50","14,701.60",12000,2,male,Health Care,San Ramon,California,2020
849,Fleetcor Technologies,"2,648.80",8.8,895.10,10.3,"12,248.50","15,935.90",8700,23,male,Business Services,Peachtree Corners,Georgia,2020
850,RH,"2,647.40",5.7,220.40,46.3,"2,445.70","1,932.90",4750,6,male,Retailing,Corte Madera,California,2020
851,Renewable Energy Group,"2,643.20",10.6,380.10,30,"1,785.30",801.00,829,28,male,Energy,Ames,Iowa,2020
852,BlueLinx Holdings,"2,637.30",-7.9,-17.70,-,971.40,46.40,2189,-66,male,Wholesalers,Marietta,Georgia,2020
853,California Resources,"2,634.00",-14,-28.00,-108.5,"6,958.00",49.40,1250,-104,male,Energy,Los Angeles,California,2020
854,TopBuild,"2,624.10",10.1,191.00,41.7,"2,604.00","2,400.10",10400,28,male,Engineering & Construction,Daytona Beach,Florida,2020
855,Charles River Laboratories International,"2,621.20",15.7,252.00,11.3,"4,692.80","6,245.50",17100,61,male,Health Care,Wilmington,Massachusetts,2020
856,Comfort Systems USA,"2,615.30",19.8,114.30,1.3,"1,505.00","1,338.20",12000,78,male,Engineering & Construction,Houston,Texas,2020
857,Verisk Analytics,"2,607.10",8.9,449.90,-24.9,"7,055.20","22,729.50",9180,20,male,Business Services,Jersey City,New Jersey,2020
858,ResMed,"2,606.60",11.4,404.60,28.2,"4,107.70","21,300.60",7240,36,male,Health Care,San Diego,California,2020
859,Teleflex,"2,595.40",6,461.50,129.8,"6,309.80","13,580.10",14400,11,male,Health Care,Wayne,Pennsylvania,2020
860,New Jersey Resources,"2,592.00",-11.1,169.50,-27.4,"4,373.00","3,246.50",1108,-81,male,Energy,Wall,New Jersey,2020
861,Rithm Capital,"2,585.60",15.6,563.30,-41.6,"44,863.50","2,081.90",3387,61,male,Financials,San Francisco,California,2020
862,Interactive Brokers Group,"2,580.00",9,161.00,-4.7,"71,676.00","3,313.40",1643,26,male,Financials,Greenwich,Connecticut,2020
863,Zayo Group Holdings,"2,578.00",-1,150.00,47.2,"9,334.60",-,3781,-25,male,Telecommunications,Boulder,Colorado,2020
864,MillerKnoll,"2,567.20",7.8,160.50,25.3,"1,569.30","1,311.20",8000,20,female,Household Products,East Greenville,Pennsylvania,2020
865,Grocery Outlet Holding,"2,559.60",11.9,15.40,-2.8,"2,185.50","3,087.20",765,-,male,Food & Drug Stores,Emeryville,California,2020
866,J.Crew Group,"2,540.10",2.3,-78.80,-,"1,599.30",-,9400,-6,female,Retailing,New York,New York,2020
867,Century Communities,"2,535.90",18.1,113.00,17.1,"2,500.00",483.40,1460,78,male,Engineering & Construction,Greenwood Village,Colorado,2020
868,Caesars Entertainment,"2,528.20",23,81.00,-14.9,"5,640.60","1,120.30",15500,103,male,"Hotels, Restaurants & Leisure",Las Vegas,Nevada,2020
869,Catalent,"2,518.00",2.2,137.40,64.4,"6,184.00","8,045.10",12300,-4,male,Health Care,Somerset,New Jersey,2020
870,Itron,"2,502.50",5.3,49.00,-,"2,707.80","2,242.20",7300,16,male,Industrials,Liberty Lake,Washington,2020
871,M/I Homes,"2,500.30",9.4,127.60,18.5,"2,105.60",472.40,1401,36,male,Engineering & Construction,Columbus,Ohio,2020
872,Cboe Global Markets,"2,496.10",-9.8,374.90,-12.1,"5,113.90","9,856.30",823,-69,male,Financials,Chicago,Illinois,2020
873,IDEX,"2,494.60",0.4,425.50,3.6,"3,813.90","10,529.40",7439,-11,male,Industrials,Lake Forest,Illinois,2020
874,Belden,"2,491.80",-3.6,-377.00,-334.3,"3,406.80","1,640.20",7000,-34,male,Industrials,St. Louis,Missouri,2020
875,Curtiss-Wright,"2,488.00",3.2,307.60,11.5,"3,764.30","3,929.40",9100,1,female,Industrials,Davidson,North Carolina,2020
876,Cheesecake Factory,"2,482.70",6.4,127.30,28.5,"2,840.60",767.90,46250,20,male,"Hotels, Restaurants & Leisure",Calabasas Hills,California,2020
877,Genesis Energy,"2,480.80",-14.8,96.00,-,"6,597.60",480.50,2177,-97,male,Energy,Houston,Texas,2020
878,GEO Group,"2,477.90",6.3,166.60,14.8,"4,317.50","1,474.30",22000,19,male,Business Services,Boca Raton,Florida,2020
879,Patterson-UTI Energy,"2,470.70",-25.7,-425.70,-,"4,439.60",451.60,5800,-170,male,Energy,Houston,Texas,2020
880,Werner Enterprises,"2,463.70",0.2,166.90,-0.7,"2,143.90","2,514.70",12736,-13,male,Transportation,Omaha,Nebraska,2020
881,Ingersoll Rand,"2,451.90",-8.8,159.10,-40.9,"4,628.40","10,306.30",6600,-59,male,Industrials,Davidson,North Carolina,2020
882,Verso,"2,444.00",-8.9,96.00,-43.9,"1,721.00",396.90,3700,-58,male,Materials,Miamisburg,Ohio,2020
883,Mueller Industries,"2,430.60",-3.1,101.00,-3.3,"1,370.90","1,364.50",4964,-28,male,Industrials,Collierville,Tennessee,2020
884,Nu Skin Enterprises,"2,420.40",-9.7,173.60,42.4,"1,769.00","1,213.70",24900,-59,male,Household Products,Provo,Utah,2020
885,Revlon,"2,419.60",-5.7,-157.70,-,"2,980.60",580.10,7100,-39,female,Household Products,New York City,New York,2020
886,Arista Networks,"2,410.70",12.1,859.90,162.1,"4,185.30","15,490.90",2300,57,female,Technology,Santa Clara,California,2020
887,IDEXX Laboratories,"2,406.90",8.8,427.70,13.4,"1,832.50","20,644.90",9200,42,male,Health Care,Westbrook,Maine,2020
888,Align Technology,"2,406.80",22.4,442.80,10.6,"2,500.70","13,699.10",14530,107,male,Health Care,San Jose,California,2020
889,Waters,"2,406.60",-0.6,592.20,-0.3,"2,557.10","11,315.90",7467,-14,male,Technology,Milford,Massachusetts,2020
890,Synovus Financial,"2,406.50",48.1,563.80,31.6,"48,203.30","2,585.80",5389,-,male,Financials,Columbus,Georgia,2020
891,BrightView Holdings,"2,404.60",2.2,44.40,-,"2,928.60","1,159.60",21978,-1,male,Business Services,Plymouth Meeting,Pennsylvania,2020
892,REV Group,"2,403.70",0.9,-12.30,-194.6,"1,347.10",263.80,8040,-9,male,Motor Vehicles & Parts,Milwaukee,Wisconsin,2020
893,Brown & Brown,"2,392.20",18.8,398.50,15.8,"7,622.80","10,269.30",10083,88,male,Financials,Daytona Beach,Florida,2020
894,Valvoline,"2,390.00",4.6,208.00,25.3,"2,064.00","2,466.80",7900,14,male,Chemicals,Lexington,Kentucky,2020
895,Knights of Columbus,"2,387.80",3,148.30,83.8,"26,860.60",-,772,5,male,Financials,New Haven,Connecticut,2020
896,Central Garden & Pet,"2,383.00",7.6,92.80,-24.9,"2,025.00","1,441.20",5550,32,male,Household Products,Walnut Creek,California,2020
897,Carpenter Technology,"2,380.20",10.3,167.00,-11.4,"3,187.80",932.10,5100,43,male,Materials,Philadelphia,Pennsylvania,2020
898,SLM,"2,380.00",26.4,578.30,18.6,"32,686.50","3,038.60",1900,-,male,Financials,Newark,Delaware,2020
899,Kennametal,"2,375.20",0.3,241.90,20.9,"2,656.30","1,543.60",10395,-12,male,Industrials,Pittsburgh,Pennsylvania,2020
900,LCI Industries,"2,371.50",-4.2,146.50,-1.4,"1,862.60","1,673.90",10500,-36,male,Motor Vehicles & Parts,Elkhart,Indiana,2020
901,TrueBlue,"2,368.80",-5.2,63.10,-4.1,"1,136.20",492.90,6200,-43,male,Business Services,Tacoma,Washington,2020
902,Cimarex Energy,"2,363.00",1,-124.60,-115.7,"7,140.00","1,718.90",987,-7,male,Energy,Denver,Colorado,2020
903,Splunk,"2,358.90",30.8,-336.70,-,"5,439.50","20,022.60",5800,-,male,Technology,San Francisco,California,2020
904,SiteOne Landscape Supply,"2,357.50",11.6,77.70,5.1,"1,443.30","3,076.50",4416,51,male,Wholesalers,Roswell,Georgia,2020
905,Hexcel,"2,355.70",7.6,306.60,10.8,"3,128.60","3,099.60",6977,27,male,Aerospace & Defense,Stamford,Connecticut,2020
906,FTI Consulting,"2,352.70",16,216.70,43.9,"2,783.10","4,490.60",5567,72,male,Business Services,"Washington, D.C.",District of Columbia,2020
